cluster index	RTMean	Balance Score	BasePeak
1147	45.10	19	96.0
1148	45.10	13	279.0
1149	45.16	45	126.0
1150	45.16	20	192.0
1151	45.16	16	77.0
1152	45.16	13	135.0
1153	45.16	5	206.0
1154	45.22	51	342.0
1155	45.22	19	126.0
1156	45.22	17	416.0
1157	45.22	13	91.0
1158	45.29	50	222.0
1159	45.29	15	192.0
1160	45.29	14	328.0
1161	45.29	13	401.0
1162	45.29	8	69.0
1163	45.37	42	78.0
1164	45.37	25	197.0
1165	45.37	17	149.0
1166	45.37	16	197.0
1167	45.45	37	200.0
1168	45.45	26	342.0
1169	45.45	25	190.0
1170	45.45	12	328.0
1171	45.49	49	148.0
1172	45.49	18	191.0
1173	45.49	17	95.0
1174	45.49	13	491.0
1175	45.49	4	147.0
1176	45.54	54	268.0
1177	45.54	21	78.0
1178	45.54	20	355.0
1179	45.54	6	116.0
1180	45.60	34	69.0
1181	45.60	30	341.0
1182	45.60	24	195.0
1183	45.60	12	79.0
1184	45.65	32	401.0
1185	45.65	22	282.0
1186	45.65	20	361.0
1187	45.65	19	117.0
1188	45.65	7	282.0
1189	45.70	63	280.0
1190	45.70	21	95.0
1191	45.70	16	75.0
1192	45.73	53	205.0
1193	45.73	17	117.0
1194	45.73	16	268.0
1195	45.73	14	296.0
1196	45.78	46	146.0
1197	45.78	20	417.0
1198	45.78	18	148.0
1199	45.78	15	325.0
1200	45.85	40	177.0
1201	45.85	21	83.0
1202	45.85	15	357.0
1203	45.85	13	96.0
1204	45.85	11	489.0
1205	45.91	39	340.0
1206	45.91	22	267.0
1207	45.91	21	76.0
1208	45.91	17	194.0
1209	46.00	42	131.0
1210	46.00	32	209.0
1211	46.00	25	220.0
1212	46.06	44	327.0
1213	46.06	21	89.0
1214	46.06	20	147.0
1215	46.06	16	190.0
1216	46.12	39	105.0
1217	46.12	17	489.0
1218	46.12	17	343.0
1219	46.12	14	129.0
1220	46.12	13	66.0
1221	46.19	48	161.0
1222	46.19	19	284.0
1223	46.19	17	81.0
1224	46.19	16	103.0
1225	46.23	50	82.0
1226	46.23	17	103.0
1227	46.23	17	147.0
1228	46.23	15	475.0
1229	46.29	32	75.0
1230	46.29	25	489.0
1231	46.29	23	222.0
1232	46.29	21	490.0
1233	46.34	42	117.0
1234	46.34	20	131.0
1235	46.34	20	461.0
1236	46.34	18	356.0
1237	46.38	21	81.0
1238	46.38	21	78.0
1239	46.38	17	267.0
1240	46.38	15	265.0
1241	46.38	13	194.0
1242	46.38	13	416.0
1243	46.41	100	265.0
1244	46.45	31	163.0
1245	46.45	23	146.0
1246	46.45	19	69.0
1247	46.45	16	282.0
1248	46.45	12	356.0
1249	46.48	49	205.0
1250	46.48	21	72.0
1251	46.48	15	253.0
1252	46.48	14	356.0
1253	46.53	76	73.0
1254	46.53	24	295.0
1255	46.59	51	165.0
1256	46.59	49	356.0
1257	46.65	51	280.0
1258	46.65	27	220.0
1259	46.65	22	200.0
1260	46.72	43	269.0
1261	46.72	21	119.0
1262	46.72	19	283.0
1263	46.72	17	222.0
1264	46.80	49	328.0
1265	46.80	19	179.0
1266	46.80	19	72.0
1267	46.80	13	118.0
1268	46.86	34	91.0
1269	46.86	22	115.0
1270	46.86	18	101.0
1271	46.86	13	201.0
1272	46.86	12	127.0
1273	46.90	30	209.0
1274	46.90	25	91.0
1275	46.90	24	221.0
1276	46.90	20	146.0
1277	46.95	43	133.0
1278	46.95	24	343.0
1279	46.95	17	429.0
1280	46.95	16	268.0
1281	47.06	52	145.0
1282	47.06	18	163.0
1283	47.06	18	205.0
1284	47.06	13	116.0
1285	47.12	80	155.0
1286	47.12	20	87.0
1287	47.15	76	210.0
1288	47.15	24	267.0
1289	47.20	44	218.0
1290	47.20	20	281.0
1291	47.20	19	282.0
1292	47.20	17	165.0
1293	47.25	47	118.0
1294	47.25	19	176.0
1295	47.25	19	416.0
1296	47.25	15	175.0
1297	47.34	43	401.0
1298	47.34	22	131.0
1299	47.34	21	268.0
1300	47.34	14	98.0
1301	47.37	100	355.0
1302	47.40	100	461.0
1303	47.60	100	269.0
