cluster index	RTMean	Balance Score	BasePeak
265	12.23	100	205.0
266	12.26	71	172.0
267	12.26	20	148.0
268	12.26	9	88.0
269	12.33	68	78.0
270	12.33	32	148.0
271	12.45	68	133.0
272	12.45	32	75.0
273	12.51	95	78.0
274	12.51	5	118.0
275	12.64	100	335.0
276	12.70	74	129.0
277	12.70	19	218.0
278	12.70	7	52.0
279	12.75	61	101.0
280	12.75	39	101.0
281	12.79	59	142.0
282	12.79	27	131.0
283	12.79	8	175.0
284	12.79	6	258.0
285	12.86	66	162.0
286	12.86	34	73.0
287	12.97	58	151.0
288	12.97	42	218.0
289	13.06	86	145.0
290	13.06	14	75.0
291	13.17	98	207.0
292	13.17	2	124.0
293	13.31	37	158.0
294	13.31	36	147.0
295	13.31	18	69.0
296	13.31	10	51.0
297	13.38	80	88.0
298	13.38	20	75.0
299	13.48	46	205.0
300	13.48	23	59.0
301	13.48	18	189.0
302	13.48	13	167.0
303	13.54	70	104.0
304	13.54	14	103.0
305	13.54	13	103.0
306	13.54	3	131.0
307	13.64	100	60.0
308	13.73	53	75.0
309	13.73	21	218.0
310	13.73	15	104.0
311	13.73	11	210.0
312	13.81	30	142.0
313	13.81	29	104.0
314	13.81	21	148.0
315	13.81	11	258.0
316	13.81	9	74.0
317	13.88	100	57.0
318	14.07	56	205.0
319	14.07	24	129.0
320	14.07	19	55.0
321	14.16	100	99.0
322	14.25	56	248.0
323	14.25	44	69.0
324	14.31	59	127.0
325	14.31	41	133.0
326	14.34	47	69.0
327	14.34	45	61.0
328	14.34	8	207.0
329	14.40	52	60.0
330	14.40	48	54.0
331	14.49	43	116.0
332	14.49	36	55.0
333	14.49	21	79.0
334	14.62	60	231.0
335	14.62	21	130.0
336	14.62	15	80.0
337	14.62	3	201.0
338	14.72	49	149.0
339	14.72	42	142.0
340	14.72	9	118.0
341	14.78	40	72.0
342	14.78	31	218.0
343	14.78	24	301.0
344	14.78	5	144.0
345	14.83	93	203.0
346	14.83	7	50.0
347	14.90	60	74.0
348	14.90	40	75.0
349	14.97	55	76.0
350	14.97	45	116.0
351	15.02	100	50.0
352	15.08	47	147.0
353	15.08	24	52.0
354	15.08	15	148.0
355	15.08	10	234.0
356	15.08	4	89.0
357	15.16	34	170.0
358	15.16	28	114.0
359	15.16	23	157.0
360	15.16	15	260.0
361	15.28	100	120.0
362	15.40	89	56.0
363	15.40	11	176.0
364	15.53	55	69.0
365	15.53	26	243.0
366	15.53	19	129.0
367	15.57	100	147.0
368	15.61	100	142.0
369	15.68	51	77.0
370	15.68	24	128.0
371	15.68	13	55.0
372	15.68	13	258.0
373	15.77	100	70.0
374	15.92	57	228.0
375	15.92	43	81.0
376	15.97	70	101.0
377	15.97	30	66.0
378	16.06	79	232.0
379	16.06	11	56.0
380	16.06	9	115.0
381	16.17	68	191.0
382	16.17	32	158.0
383	16.24	81	102.0
384	16.24	13	79.0
385	16.24	7	54.0
386	16.33	100	239.0
387	16.49	100	194.0
388	16.58	100	141.0
389	16.66	75	103.0
390	16.66	25	120.0
391	16.70	33	350.0
392	16.70	27	61.0
393	16.70	26	61.0
394	16.70	14	148.0
395	16.76	100	120.0
396	16.84	100	83.0
397	16.89	71	159.0
398	16.89	29	250.0
399	16.94	86	224.0
400	16.94	12	276.0
401	16.94	3	91.0
402	17.06	54	72.0
403	17.06	29	79.0
404	17.06	12	74.0
405	17.06	5	320.0
406	17.12	100	75.0
407	17.16	53	234.0
408	17.16	47	51.0
409	17.25	64	156.0
410	17.25	36	52.0
411	17.29	100	265.0
412	17.40	41	73.0
413	17.40	34	216.0
414	17.40	25	51.0
415	17.43	41	149.0
416	17.43	37	60.0
417	17.43	22	71.0
418	17.53	65	211.0
419	17.53	35	186.0
420	17.58	56	99.0
421	17.58	44	159.0
422	17.66	78	104.0
423	17.66	22	143.0
424	17.69	85	128.0
425	17.69	15	87.0
426	17.74	90	72.0
427	17.74	10	71.0
428	17.80	100	138.0
429	17.87	39	180.0
430	17.87	19	191.0
431	17.87	16	205.0
432	17.87	16	207.0
433	17.87	9	70.0
434	17.98	89	172.0
435	17.98	11	132.0
436	18.01	52	59.0
437	18.01	48	281.0
438	18.07	62	322.0
439	18.07	38	58.0
440	18.14	77	146.0
441	18.14	23	149.0
442	18.22	95	128.0
443	18.22	5	207.0
444	18.34	47	100.0
445	18.34	27	59.0
446	18.34	25	355.0
447	18.46	94	116.0
448	18.46	6	251.0
449	18.51	45	77.0
450	18.51	27	230.0
451	18.51	16	79.0
452	18.51	12	219.0
453	18.61	44	207.0
454	18.61	38	80.0
455	18.61	17	103.0
456	18.76	100	58.0
457	18.84	70	78.0
458	18.84	30	129.0
459	18.92	100	145.0
460	19.04	87	217.0
461	19.04	13	141.0
462	19.21	54	233.0
463	19.21	46	163.0
464	19.29	49	173.0
465	19.29	24	160.0
466	19.29	16	104.0
467	19.29	6	141.0
468	19.29	5	105.0
469	19.35	62	130.0
470	19.35	38	75.0
471	19.42	90	243.0
472	19.42	10	75.0
473	19.49	63	83.0
474	19.49	37	74.0
475	19.61	73	133.0
476	19.61	27	58.0
477	19.73	100	317.0
478	19.83	52	81.0
479	19.83	24	131.0
480	19.83	24	117.0
481	19.94	100	61.0
482	20.01	100	151.0
483	20.10	100	128.0
484	20.23	100	177.0
485	20.31	100	132.0
486	20.38	62	77.0
487	20.38	24	396.0
488	20.38	14	272.0
489	20.44	51	160.0
490	20.44	34	131.0
491	20.44	14	316.0
492	20.54	100	85.0
493	20.61	44	126.0
494	20.61	37	142.0
495	20.61	18	80.0
496	20.64	40	147.0
497	20.64	39	72.0
498	20.64	21	100.0
499	20.77	53	208.0
500	20.77	40	190.0
501	20.77	8	164.0
502	20.87	100	235.0
503	20.97	100	85.0
504	21.12	63	293.0
505	21.12	20	176.0
506	21.12	18	119.0
507	21.23	55	72.0
508	21.23	45	221.0
509	21.28	65	133.0
510	21.28	21	71.0
511	21.28	14	180.0
512	21.32	54	148.0
513	21.32	22	259.0
514	21.32	14	128.0
515	21.32	5	69.0
516	21.32	5	73.0
517	21.43	51	147.0
518	21.43	49	209.0
519	21.56	100	182.0
520	21.61	70	156.0
521	21.61	30	174.0
522	21.67	100	348.0
523	21.71	100	305.0
524	21.80	100	103.0
525	21.87	60	334.0
526	21.87	40	69.0
527	21.91	75	205.0
528	21.91	25	293.0
529	21.98	75	197.0
530	21.98	25	218.0
531	22.10	100	87.0
532	22.18	100	176.0
533	22.25	38	89.0
534	22.25	35	155.0
535	22.25	23	205.0
536	22.25	5	75.0
537	22.30	53	226.0
538	22.30	31	217.0
539	22.30	16	272.0
540	22.37	54	241.0
541	22.37	46	300.0
542	22.48	86	211.0
543	22.48	14	335.0
544	22.57	37	158.0
545	22.57	36	249.0
546	22.57	28	219.0
547	22.61	55	338.0
548	22.61	29	131.0
549	22.61	10	207.0
550	22.61	6	75.0
551	22.72	100	241.0
552	22.81	56	177.0
553	22.81	44	119.0
554	22.90	100	82.0
555	22.95	48	137.0
556	22.95	32	130.0
557	22.95	20	117.0
558	23.04	100	190.0
559	23.17	100	279.0
560	23.28	40	305.0
561	23.28	34	220.0
562	23.28	27	319.0
563	23.47	100	180.0
564	23.59	100	120.0
565	23.70	56	89.0
566	23.70	44	174.0
567	23.85	66	89.0
568	23.85	34	103.0
569	23.92	61	66.0
570	23.92	21	217.0
571	23.92	12	389.0
572	23.92	6	129.0
573	24.05	76	60.0
574	24.05	24	118.0
575	24.15	100	245.0
576	24.26	55	171.0
577	24.26	45	214.0
578	24.32	49	85.0
579	24.32	42	307.0
580	24.32	9	142.0
581	24.41	100	128.0
582	24.51	54	116.0
583	24.51	46	129.0
584	24.58	100	74.0
585	24.63	42	205.0
586	24.63	29	100.0
587	24.63	29	218.0
588	24.72	58	102.0
589	24.72	42	146.0
590	24.84	100	317.0
591	24.96	25	135.0
592	24.96	21	331.0
593	24.96	21	72.0
594	24.96	19	60.0
595	24.96	8	207.0
596	24.96	6	202.0
597	25.02	60	420.0
598	25.02	23	305.0
599	25.02	17	134.0
600	25.05	70	128.0
601	25.05	25	464.0
602	25.05	4	305.0
603	25.11	53	124.0
604	25.11	47	191.0
605	25.20	100	139.0
606	25.33	100	205.0
607	25.43	43	191.0
608	25.43	30	113.0
609	25.43	27	294.0
610	25.53	100	392.0
611	25.65	77	161.0
612	25.65	23	130.0
613	25.78	100	115.0
614	25.86	46	75.0
615	25.86	43	135.0
616	25.86	11	87.0
617	25.95	50	174.0
618	25.95	50	84.0
619	25.99	66	179.0
620	25.99	34	231.0
621	26.08	82	231.0
622	26.08	18	245.0
623	26.17	58	173.0
624	26.17	29	148.0
625	26.17	14	148.0
626	26.28	100	344.0
627	26.42	39	149.0
628	26.42	32	133.0
629	26.42	18	113.0
630	26.42	11	87.0
631	26.51	58	74.0
632	26.51	22	91.0
633	26.51	20	193.0
634	26.59	88	247.0
635	26.59	12	144.0
636	26.67	48	215.0
637	26.67	28	67.0
638	26.67	24	122.0
639	26.75	63	132.0
640	26.75	20	327.0
641	26.75	18	375.0
