,picolinate,glycochenodeoxycholate glucuronide (1),"bilirubin degradation product, C17H20N2O5 (1)",1-methyladenine,eicosenoate (20:1n9 or 1n11),behenoyl ethanolamide (22:0)*,chenodeoxycholic acid sulfate (1),N-acetylalanine,2-palmitoyl-galactosylglycerol (16:0)*,cortolone glucuronide (1),isoursodeoxycholate,deoxycholic acid glucuronide,3-hydroxymargarate,tryptamine,3-hydroxy-2-methylpyridine,PAHSA (16:0/OH-18:0),N-palmitoyl-phytosphingosine (t18:0/16:0),"3,4-dihydroxyphenylacetate",isocaproate (i6:0),2'-deoxyinosine,phenylalanylalanine,histidine betaine (hercynine)*,2-aminophenol,lithocholate,glucuronide of piperine metabolite C17H21NO3 (4)*,"glutamate, gamma-methyl ester",N-propionylmethionine,butyrylputrescine/isobutyrylputrescine,leucylalanine,succinoyltaurine,3-hydroxyisonicotinic acid,orotidine,2-hydroxyadipate,tyrosylglycine,2-methylserine,leucylglutamine*,N-methylproline,GlcNAc sulfate conjugate of C21H34O2 steroid,arginine,spermine,thymidine,gentisate,leucylglycine,2-hydroxysebacate,"2,8-quinolinediol",dihomolinoleate (20:2n6),lithocholic acid sulfate (2),N-acetylglutamate,N-acetylaspartate (NAA),isoursodeoxycholate sulfate (1),p-cresol sulfate,"2S,3R-dihydroxybutyrate",3-(4-hydroxyphenyl)propionate,dodecanedioate (C12),OAHSA (18:1/OH-18:0),tryptophylglycine,N2-acetyllysine,C-glycosyltryptophan,fucose,vanillylmandelate (VMA),argininate*,2'-deoxyuridine,ferulylglycine (2),gamma-glutamylglutamate,glutamate,valylglycine,N-methyl-GABA,ferulylglycine (1),N-acetylmuramate,glycerophosphoinositol*,(N(1) + N(8))-acetylspermidine,glycylleucine,ursodeoxycholate,4-ureidobutyrate,formiminoglutamate,spermidine,tyramine,2-piperidinone,alpha-tocotrienol,S-carboxymethyl-L-cysteine,cytidine,gamma-CEHC glucuronide*,succinate,uridine,nicotinate,N6-acetyllysine,"N,N,N-trimethyl-alanylproline betaine (TMAP)",N1-methylinosine,ursocholate,arabinose,sulfate*,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",cysteine,10-hydroxystearate,"bilirubin degradation product, C17H18N2O4 (2)",nicotinamide riboside,1-palmitoyl-galactosylglycerol (16:0)*,inosine,gamma-glutamylmethionine,stigmastadienone,pyrraline,glycerophosphoglycerol,threonylphenylalanine,2'-deoxycytidine,N-acetylglucosamine/N-acetylgalactosamine,etiocholanolone glucuronide,cholate,N-acetylglucosaminylasparagine,tetrahydrocortisol glucuronide ,"androstenediol (3beta,17beta) monosulfate (1)",alanylleucine,protoporphyrin IX,glycine,maltol
139-1,0.7623416903190857,-1.2802045043016888,-1.1435592267915389,0.4785709288499354,1.4156002127237752,0.8939180591465379,1.0393644783502194,-0.36075072080943466,0.696757893195645,-1.196722549907177,1.5223482937204185,-1.2814238643929527,1.180185535228606,0.6403986764163615,-1.0691479439524798,1.2873642910306422,0.2711051569949699,1.1433834013950164,0.3745621280741824,0.09126622325892773,0.39417533274371436,-1.444453331745868,0.16837315298640973,0.5568266113335916,-1.074815156392721,0.09992069785033059,-0.0944691673170604,1.194468145274961,0.8677839297946798,0.10494567626888127,1.7347218120117116,-1.3604778612053827,0.7238758626715367,0.838938429314565,-4.279845332549378,0.44236304743264243,0.1300858964133088,-1.3134279079332296,0.8340870866162048,0.43749535062877254,0.566517767986333,0.7054844620575224,0.6369263732884045,1.022921319468012,0.5593608900492618,3.523998485998093,0.4031149949122117,-0.02606571166056283,1.253415501892916,1.516309028792619,1.0056104173511293,-0.07382364898401,0.04881447256812625,0.44382501725249335,1.074843485801857,0.3310714624140824,0.5670110579139429,-1.5222249134548052,0.44339840991658813,-1.0073968373177764,0.7838473383303435,0.345377155139276,-1.2576528434563203,0.18429555744992096,0.09590839026154441,0.44411165034305417,0.5682139651174393,-1.6882049882692245,1.4641229032000487,-0.1654450395345117,1.1071930384694662,0.5541086804694708,1.5585886459710767,1.1319184432389018,0.5373879534085154,0.5289254608610177,0.08768479503929541,0.27967730875992786,0.8689122189816284,0.2435382038196523,0.2996024578870357,-1.1329378147694698,-0.3071007945834137,0.389021169258848,0.8917084271344177,-1.088143796393411,0.2895509966330517,0.5174232776286576,1.8983475886850913,0.35126734937684784,-0.3696218172713083,1.0751098175736415,-0.4167427297506692,1.5395985562160739,-1.2749869215108753,0.7933036590115291,0.6707131211828032,0.6589280660882373,-0.18957384847643788,0.28738240468739945,-1.1844513282936115,0.8165378432229452,0.5613159493154751,-0.05027168683496424,0.6308935329023083,-1.0064534925210196,0.3246641134045557,0.7082102920128805,-1.231598277742551,1.6116302765382144,0.4168840460572735,-0.5912962131580627,-1.47055152988946,-1.1472291237398968
133-1,0.3225458849181973,-1.2802045043016888,-1.1435592267915389,-3.9781329614496754,-1.1588372708103793,0.8277192208162703,0.6734992778122864,-0.03230088727725743,0.4626640599067141,-1.196722549907177,0.8594651332530133,-1.2814238643929527,0.843873360230127,0.5414441302907179,1.0456309458482163,-1.2086142009431464,0.1497196366852326,1.272695943557138,0.4009520753810845,1.0389600782364468,0.43528871390804363,0.10152854211122549,1.0998725247572332,2.061969531469422,-1.074815156392721,0.1364558766270984,0.6630634630820322,0.9545799401143523,0.9820853057772633,0.6202228854811579,0.3764107040997539,0.32922826694894086,0.48157843228000397,-1.1794884754970996,-0.15185286304892665,0.6263498636765411,1.1761630556323561,-0.054066826348464485,-1.5641279788915072,-1.0163749912379916,0.6831610806955141,1.1967688783229995,-1.6690770429028081,0.8865980371655356,1.6360858408886634,-0.296970967435277,2.049989470244712,0.3053551741548293,0.5052075080881644,0.05312796547831722,1.0205364795841039,-0.10230624225520488,-0.589612091121651,0.980703542077385,-0.42232827223747965,0.10310055786268049,0.2439511559469546,-1.5222249134548052,1.3461058474779108,-1.0073968373177764,-1.1568440972865266,0.629147158458949,-1.2576528434563203,0.21098455840709648,-1.0231124741209465,0.29286462904401733,0.8024252846605883,-1.6882049882692245,0.5460134913809098,-0.19023864945440652,-1.5764498238218807,0.25560890524980806,0.2402713035479539,-0.2245620951248893,-1.256182161350339,0.8165486885212165,0.7958220016225352,-0.4312340665100534,-0.20070368477191844,0.2580021009224047,0.6316724675742558,-1.1329378147694698,0.6081836917448155,1.2160026164130877,0.8367667541031594,-0.6179061314383786,-2.1642220410364157,0.5679733539792233,-0.14594557274414768,1.078563498640181,-0.8263508165935449,0.6987959172858781,-0.6025917740802291,-1.13870866617829,-0.4063671408179381,0.3938076520785148,0.03684246013870076,0.5871104047755996,0.7231213082775776,0.5100539707284422,0.12057290555859197,0.7698648423706083,0.25621568766204317,0.942408913300022,0.9962535984587448,-1.0064534925210196,-2.394283646518962,0.8622458720677222,-1.231598277742551,0.8178392447784316,0.8062527221868104,0.8982542240649063,-2.1475480425251816,1.8333666399488602
158-1,0.480747069148354,0.5699493388228879,0.9998453602744831,0.7609631112453948,0.365778580700304,-1.6008650991207545,0.4993172124994126,-0.5138842690637001,0.4964738568560491,0.29444031146590893,-1.2012478577164978,1.0127336876089308,1.113077451434785,-1.1359592538353682,1.1422693711463463,-1.2086142009431464,0.1189139889394499,0.9178540393541793,-1.4260941751377603,1.2563758971378718,-0.0545219728056595,-0.07602712740166957,-0.4294897132029498,-0.8918256279902608,0.7848587612598118,0.3252492671067737,1.1674775935242174,0.005707454754005909,-1.1140331291390884,0.7867408570657937,0.47592962344453127,-1.3604778612053827,0.21047569269573335,-1.1794884754970996,0.5085945702146393,0.0517710124770072,-0.33177183586770864,0.6922003962344546,0.07040033715681261,-1.0163749912379916,1.2015504362193403,0.22880289991233738,0.5094386700499627,-1.378272870251133,-1.07389239677145,0.06014410459556372,0.8007459506308836,-0.5950221692377159,-0.28607453201946775,-0.4108888759879044,0.8903439386963152,0.31552716411748793,0.6189002835078038,0.5144039124160298,-3.0008208180002494,0.6996970118999016,-0.22002346250280458,0.6194259147962691,1.0794530959275637,0.7127047881648344,0.9291800769743381,1.0745728535795458,0.677389549973016,0.7417180661172496,0.529524309936971,0.11910943679007371,0.5161839608866011,0.46489025940870693,1.5053986758937878,0.07913422551556326,0.24513948032283442,0.460693695710789,-0.6465866746083204,1.5495721179877002,-0.9530296544711815,-0.5909450894467881,-0.7922140151567351,1.174094045791751,-4.07653997530421,-1.2720952427915986,0.9797539616111136,0.5362022687607856,-0.3856239826223612,0.8998221310740161,0.7932317872609819,0.2648233053470957,0.8343511191884445,-1.18733063176785,-0.6531357423950442,1.1621474646116023,0.5882451090939899,-0.030699442684029386,-0.9170258658073547,-1.090692393731828,0.9296280904609048,0.0689045861516647,0.48854623149490417,0.448228012855575,0.4758127164406141,-0.7456610152785067,0.6693769198721514,0.5265307481139668,0.21913397148087527,0.6369940998401631,0.6077229164541043,-1.0064534925210196,-0.09576076033793972,1.9614203757946758,0.06190647099097971,-2.1294622441505067,-0.09022957572000963,-0.3498909262396611,1.344788538757751,0.9486359008012657
138-1,0.3314370635167361,-1.2802045043016888,-1.1435592267915389,-0.841380778861836,-0.3800104632200721,1.048383643509658,0.7418879428747784,0.0904011939468614,0.2893353503099158,-1.196722549907177,1.0868122919690961,-1.2814238643929527,1.500749967323809,1.2036090706021492,1.043323602864389,0.6528810402435202,2.9113303324911026,0.26523250471979026,0.00766913589243526,1.5026184051640874,0.732745499053276,-1.444453331745868,0.417004091189823,2.0099594823302627,-1.074815156392721,-0.4383183036335718,0.5311856663667469,0.9808393648475189,1.1701276683586779,-0.8411707998237329,1.9305249343757556,-1.3604778612053827,-0.9566477968166732,0.9784617836636104,-0.6757333493063113,1.0708298897874957,1.852814977501154,-1.3134279079332296,0.7643495732272009,-1.0163749912379916,1.856617530244413,0.6919407503410724,1.2786963064366645,1.5547292285374077,0.8405170636478055,0.1940631582619467,1.1477254729295419,0.08677825755817403,0.24430045320482105,1.1739842453344418,1.5645127371168226,0.12007556243557456,0.8245976928570068,1.124634313604926,0.30171820355158413,0.7521527973342587,0.8448369716110201,-1.5222249134548052,0.759449118820548,-1.0073968373177764,-0.6990068791853284,1.4835984160122653,-1.2576528434563203,0.2957509524827896,0.27538994972007597,0.748980178416873,0.5150763965354413,-1.6882049882692245,0.7959543408974263,0.42607218741376957,0.49940654807508217,2.161656555103897,0.6842821142915504,1.096788039441056,0.6908935151706941,0.6186667661050593,-0.14382694911278285,0.8049014664249164,0.6734785208893629,-1.4224079784280406,0.903042797844396,-1.1329378147694698,-0.19779564590350615,1.3092613780941749,1.6715992323958075,-0.5051090529630706,-3.6007812985327186,1.214057425707473,0.5879286827539638,0.6781471464188599,0.7572475018104872,0.5545317786094238,-0.35689156316643156,0.08652903836890655,-1.814254447085364,1.9201365577659648,0.07853244613521447,1.6892820465762761,0.23312915572464837,1.225141067513273,-3.0999181466444723,0.9775605004677692,0.7976944913462343,1.0238180530738827,0.7599733974818852,-1.0064534925210196,-2.7896798375970793,0.22425859945132998,-1.231598277742551,1.3636562253948876,1.1537192775431535,-0.07951596063248313,-1.092118725001581,0.8143174209861626
167-1,0.8685572291587871,1.0992476720673119,1.1980546901693951,0.5096537762327557,-2.467007532685735,0.6023824316817583,-0.719382550098804,0.24574930991295546,-1.3597510479537342,1.006229246889479,-1.2012478577164978,1.1637380971270617,-0.9952169707440189,0.49906027605081926,1.0468946117692013,0.42218474877528955,0.06672502249857626,-1.0287359987608107,0.2272376786036268,-0.20867404903574377,-0.26222429673167097,-1.444453331745868,0.16215139398433948,0.3677821440709953,1.4471615344664868,-0.4047837600683803,0.8447124449035068,-1.5114275880506056,-1.1140331291390884,0.5275176363678935,-0.37015905267927096,0.3886571501466477,0.19120517799222148,-1.1794884754970996,0.5579245939272992,-3.271939494748611,-3.502154629990738,0.9919185015961325,0.078276999407821,0.4140630078617102,-0.6175707708048074,0.6326627391551835,0.29640428308281075,-0.9665614321818199,-1.07389239677145,-2.1956780346328952,-0.4320847568324837,-0.5517338882044782,-0.3058002851785251,-0.44208826157932696,0.6176980998934746,1.500588013299984,-3.832722311581964,-3.0109762482325393,-0.30591569152651177,0.09487964727575636,0.32603100523341877,1.0824381838596027,-3.902746821033357,1.6558589047620351,0.9445941379679349,-0.3310013289126256,0.9561278739808963,-1.0937742619583743,-0.36166726636494456,0.05116530355701839,-1.613382389277561,0.6348713060105345,-1.124443442781142,0.14120915223132666,-0.4174805396643874,-0.8367710212354904,-0.9540190734426724,-0.2067485623787806,-0.7128560969689323,-1.8343705634305996,-0.8114334300882349,-0.4967689149330405,-0.008361456871133701,0.4884515189605591,-0.08498977932229841,1.1068234112198958,-1.0381985005175611,-1.0800343995581625,0.4132366099014735,1.5441521426776936,-0.7355308059612203,-1.18733063176785,-2.083893992850897,0.03374271985810738,0.7494719018621638,-0.32344267637895013,3.242801238970947,-0.8547562019078394,1.1274484578057846,1.506713593409481,-1.8450075626396332,-0.8891485208604835,0.5295566426670967,-0.36577394681527525,0.689571967528869,-0.6314503444275202,-3.043249616188997,0.2428248335951844,-1.7429276861366707,1.531329419820883,0.445051028455562,-0.4083305441429936,0.9356237194274042,0.12913490807164632,-0.15704126385544964,0.20766118670401157,0.22719054114810303,-1.1472291237398968
102-1,0.19916243470776052,-0.053412097780064026,-1.1435592267915389,-0.14541428313878121,0.621169398940973,0.5734407604047312,0.9228178722823794,-0.7481057947113455,1.2648392752989768,0.7226759699433897,1.4418204235818772,0.9276348926642444,-0.9952169707440189,0.7092866505377435,-1.0691479439524798,0.8504887555157682,0.16161111246603888,0.5781988675109502,0.11628352255755112,0.4646371303847059,0.3094252937211845,0.6454168789626763,-1.042445821039039,0.449452096939254,1.2790716563026605,0.8092799762374485,0.42559912203068617,-1.5114275880506056,0.693229401731833,0.6761068644528774,-0.6920456995939547,-1.3604778612053827,-2.0588884352701893,0.36401915465952117,0.174514665448746,0.20063453150170868,-0.3867842713117547,0.47913137355389995,0.4714953942073291,-1.0163749912379916,-0.004524662783273908,0.276279812693433,-1.6690770429028081,-1.572964731782143,1.0213092217511435,1.0271625193835099,-0.23631242979997402,1.1678612538081452,-0.5039909659176379,0.38117720781478287,-1.2118405812138908,0.08040512224213311,0.9581768203316485,-0.4823656087865893,0.5972331446061305,-1.9685744575038016,-0.24815362866749882,-1.5222249134548052,0.4431181926247703,-1.0073968373177764,-1.2044218768388364,0.06999225182754186,0.137116782206883,-1.0937742619583743,1.3160530849605065,0.10233983453497443,-1.613382389277561,0.10019381776518299,1.0849968975648505,-0.9120445988215407,1.179054861565037,-0.9691975760632169,1.6304959663843859,-1.1294605709865455,0.6699932634031125,-0.020444760750256544,1.0610666873426753,1.2263915504007374,0.6225180650720559,0.3865191632226602,-0.27376468825332784,0.4915577916257773,-0.6722022251482789,-0.12999874745115558,-0.3474665963630182,-0.11207085896344608,0.44285149251585093,0.49667641442262583,1.9631599897257983,-1.7825501686521046,-0.9982222753915354,-0.008893094999525397,0.05318258866322272,0.1905556185020538,-0.5392056311305296,0.4943682152067063,1.3936211429945242,-0.3968983378750141,0.43798145793011656,0.48350760143630966,0.600271406339283,0.3210589205691595,0.2799546470774841,0.38313396892459683,0.7456589391421787,-0.12147661580513204,0.654684441156505,1.0026980712998534,0.46779689127957835,0.9814589314000735,-0.018247433758599937,-3.0305145250171304,0.9572769615175805,0.6888155134288126
116-1,-1.873483994937195,1.118420303295432,-1.1435592267915389,0.2897279748617793,-0.27224101929030425,0.664548264155827,-0.2101234966755648,0.03030429326939061,-1.3597510479537342,0.452227901106042,-1.2012478577164978,0.7451451637661566,-0.9952169707440189,-1.1359592538353682,-1.0691479439524798,0.9482564069083715,0.18595104181661268,-1.0287359987608107,1.0302624646562286,-0.33877484440195227,0.24794643856448925,0.7095571190314953,-1.5167996760360298,-0.8918256279902608,0.5418295144718318,-1.4744309453385382,0.5739325801139832,0.2573504188696309,0.8049804929683716,-2.412678173755446,-1.8002278906486586,-1.3604778612053827,-1.2745662892552052,-1.1794884754970996,-0.1993591196318538,0.29186596332555714,-0.6803698707229573,0.20419074762251863,-2.0791894939539275,0.744625885155708,-0.9097087024115675,0.019398740716437348,0.39409944236090017,-0.5383645186481097,0.45338506085108266,-0.8547643248064631,-0.06907636696453198,-0.052659000589604765,0.09186703609272041,-0.6665010267565649,-0.13457246199357703,0.31505405646762136,-0.6062752278854597,0.22031256486877576,0.5189798601349535,0.41996944272918146,-0.30647369184053763,0.42261397244713345,-0.20324473095297724,0.7723676958272818,0.8838636448607109,-0.2803433725567591,0.7780241362316697,-1.0937742619583743,-1.053632963985248,0.1470899230386246,0.21476829560118407,0.8184373508776587,-1.218077152665229,-0.8909151617702675,-1.4158881947261188,0.19147668832066664,-0.18097037236680252,-0.968405672782362,-1.2317544668371003,0.0867874440139434,0.9368277667596033,-1.1138606339688961,0.8265150234288988,0.6245241103657216,-0.7450953413364091,0.9174331517222899,-2.0780363076335124,-0.2914698424098213,-1.23414951956977,0.7840352185841233,-1.2367918536019882,-1.18733063176785,-0.34575816999415376,-1.7825501686521046,-0.5737890702394368,-0.650517467804167,-0.8907876499376037,0.8365687213261215,-0.06973588637338428,-0.4972890677128606,-1.8450075626396332,-0.713425831010914,1.1200824255080888,0.30921920411456094,1.3174185845098807,-1.3316729783368877,0.2574575533483418,-0.45926794714612357,-1.7429276861366707,0.6806334461321857,0.42428289388455576,-0.5532741721853309,0.6214767520759421,-0.5706076342170356,0.2532678629965434,-0.06644126699722643,1.1425273921041996,-1.1472291237398968
165-1,0.45599047105131457,0.6398607917595733,0.6158867312437928,0.24717514696560758,-1.2223610422396411,-1.6008650991207545,-3.0286307947209075,-0.8363903447368852,-1.3597510479537342,0.12832007286437358,-1.2012478577164978,0.08072030825915051,-0.9952169707440189,-1.1359592538353682,-1.0691479439524798,-1.2086142009431464,-0.5587383630647764,0.6677826929725817,0.6656081810275181,-0.1301564360983526,0.009809869160809006,0.10708508936310723,0.0573093930581017,-0.8918256279902608,0.22574847781825558,0.11506474914358157,0.7686994941161402,-1.5114275880506056,-1.1140331291390884,-0.3724943335083046,-0.511954708832077,0.7453323408697309,0.549184252244407,0.42332571942165337,0.5207880414060313,-0.20919027938871237,-0.06448025015713828,0.5057638108978328,0.8627417977183128,-1.0163749912379916,-0.5672692389904813,0.6829803331909874,0.4316533895080891,0.003813945294715849,0.6425026586985145,-1.6556912250539064,-0.9890888935084704,0.14611939220726264,-0.44256988727483,-2.7141009861626464,-1.2118405812138908,0.37612530434301034,0.7462224626387471,-0.07671066891351544,-0.9697506125514271,0.5529492420028658,0.031124853655551364,0.2608229027083379,0.0362848051381226,0.9492174023179669,1.5458580912660587,-0.3986440731480474,-1.2576528434563203,0.9098593965890279,0.10488738677180796,0.38744048382947455,0.40922491113365556,-0.1630089294119724,-0.1881577721296312,-0.032629623346378374,-0.24783623586236575,-0.1599379782539521,-1.1538074732486137,-1.3888890550489792,-0.6131476811447345,-0.7796159440591958,-1.2633636829827524,-0.303406136062357,0.0395821371847595,0.46219402288443723,-0.06467654012005333,0.5171421353444554,-0.12593264052696845,-1.257427979317787,0.34011085535005514,1.103501129075851,-0.24111873268787357,0.25009489730716805,-0.6544341077862212,-1.7825501686521046,-1.1945819001051854,2.194524374871576,1.5617577701852656,-0.6198826917346524,-0.4044636062909076,0.04392653132798912,-1.8450075626396332,-1.1146493137091888,0.08870005574154134,-0.3715917938130597,1.0252031235125434,-0.19533892289203053,-0.048077038504849845,-0.04701217022314549,-1.7429276861366707,0.300114525921199,-0.5141971508297248,0.24874439436725107,0.02710533919099379,0.13824720569991414,-2.9590884960140045,-0.21621579820743572,0.2868744310715041,1.0431979379333962
109-1,0.2052270384689986,0.807478270947069,-1.1435592267915389,-3.9781329614496754,0.5840744099075085,0.7270506183514233,1.273004286759635,1.2581316896658918,1.0752271137685607,-1.196722549907177,1.5167676887699169,0.6641799872002666,0.9076301186783394,1.3228257840782904,0.9596697696273069,0.9689781867018387,-0.2086644197692511,1.2339241116432715,1.543986924831399,-0.07514217939198,0.22279114935172145,0.7190543104401798,2.648631704256795,0.3244920811453549,-1.074815156392721,0.7105303463208678,0.6020101871946171,0.3627488006166577,0.9888082809634035,0.9707578577590786,-0.5107531795771336,0.8662245720189018,0.21921893879668325,-1.1794884754970996,0.3280201596730369,0.48409860990899173,0.2934035384991948,0.39254922173908147,-1.0683263182872846,-1.0163749912379916,-0.05167182733834434,0.684319347671236,-1.6690770429028081,0.3509650891787104,-1.07389239677145,0.692577203964721,0.5121961061924717,0.33150557149729715,0.6136518814079727,1.661637114325848,0.42254502243478925,0.12158756018364104,0.23483825014295634,0.28358961157465834,0.766284303134384,0.2542376993948897,0.5639717528141581,0.567674514286145,0.7028261073750416,1.1713696971035958,-0.7536973650361923,-0.02628327280053347,-1.2576528434563203,1.1413293024025586,1.6208577274203082,0.01236947723654967,-1.613382389277561,-1.6882049882692245,-0.49968334793585617,-0.21404604327950974,1.0691447898994435,-0.3476568141405071,1.9156700599819936,-0.3438151796192452,1.59481901049747,-0.8696954393591517,0.9485478644434563,0.8697912521789408,0.13467261124859994,0.30589437088282995,-0.01699980226867126,-1.1329378147694698,1.566051152744328,0.5752313257541898,0.7099446760273869,-0.4928763836100991,1.32180195675485,-1.18733063176785,1.3392174271262949,0.39620146841090537,0.5069508029314547,0.5115768444364183,0.73866917502725,-0.09482094612004083,0.2726336705769948,0.007108043139855105,1.3319360277960512,1.5154386482800903,1.0535378867474672,-1.547306358534981,-0.029385148491568133,0.8164735141524816,0.12572524964068849,0.4158353056985016,0.8470336387784353,-1.0064534925210196,0.9782369197127415,-0.38661105139453067,-1.231598277742551,0.5242168176005405,0.5604737316526723,0.9785670769358711,0.5462783493701402,0.33156006765233187
106-1,0.20365163583132595,-1.2802045043016888,-1.1435592267915389,0.5896509936664229,0.8750270108106647,0.6262499782146449,0.24766495545149156,-1.1866472000565742,0.4837495620151275,-1.196722549907177,0.8638923185049037,-1.2814238643929527,-0.9952169707440189,0.4938736375600314,0.8572206014823859,1.0653778931278512,-0.6117101453323542,0.3455859516797746,0.23318673838929677,0.5610494215267525,0.02743227743185886,-0.2979669201246629,0.0735939034888443,-0.8918256279902608,-1.074815156392721,0.12942578076181538,0.0915997170298019,0.360092300639276,0.6900419780436762,-0.20425925586690571,0.5907897594936204,0.5860782997432921,1.0956624321067283,-1.1794884754970996,0.028856824772165626,0.15287216970699763,-0.4167727678735348,-1.3134279079332296,-0.532230785411295,-1.0163749912379916,1.0145907983600317,0.478956306794524,0.3833750120578897,0.5165569659411023,1.2263889681200941,0.6503491314323775,0.26822059839383194,0.14086665714653146,-0.043576307310577676,0.35219446722934206,1.5618788224918139,0.29862836083026956,-0.009674776138161662,0.38062439954106997,0.9692034365736981,-1.9685744575038016,0.46610081610540705,0.791066919357024,-0.5892497629463251,-1.0073968373177764,1.2187284143112447,0.8231139839468492,-1.2576528434563203,-1.0937742619583743,-0.3445679405951182,0.2243135165890892,0.4710375169268929,-1.6882049882692245,-0.08895042441974077,-1.5106230222054091,0.7754278266696846,-0.20239167937958755,1.2959052054642046,-0.03290300725316187,0.3764602262338337,-0.6407985104383829,0.5314453799728349,0.2950283370233992,-0.08170553577282759,0.3373525065289863,0.5645638697844791,-1.1329378147694698,-0.5579251387033123,-0.15261695020880975,0.390749569671128,0.3646350279725833,0.4139766650498852,-1.18733063176785,1.7539912644908875,0.5118608651390648,-0.09774361697587348,0.6655411093575979,-0.5657323906681062,1.4247117145661743,-1.4740281186040607,0.22964086522021862,0.469203180993023,0.5775077740013657,-1.9408290998269448,-0.7574640508731538,-0.13271593234840057,0.08305641080344371,0.3344699095668724,0.30081370168200583,0.2856185068076464,-1.0064534925210196,-0.08810918174615869,0.06177164854374789,-1.231598277742551,0.7038643071058519,0.1778532969796219,0.646009829264818,0.4421815136581381,0.7780039667504993
