cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	GNPSLibraryURL	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
1	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	160.8412	0.5706
2	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	162.8382	0.5713
3	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Straw,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,QC,Elephant,Fruit,Leopard,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0284	1.1802
4	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0285	15.8492
5	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0284	14.7239
6	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	16.1417
7	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Fruit,Pellets,Tiger,Wash,Goat,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	187.8604	0.5682
8	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0284	15.1764
9	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	15.532
10	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	MoNA:3491346_3-Methoxy-4-hydroxybenzaldehyde	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000569458	0.000900269	0.713123	5.96046	151.0391	0.7022
11	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,QC,Elephant,Hyena,Fruit,Leopard,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0285	14.1368
12	"omnivores,Wash,herbivores,QC"	"Zebra,Coati,Rhino,QC,Wash,Lemur,Bear"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0594	1.1817
13	"Wash,herbivores,QC"	"Zebra,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0591	15.8423
14	"omnivores,Wash,herbivores,Plants,Pellets,Blank,QC"	"Zebra,Blank,Sheep,Chimp,Coati,Rhino,Donkey,QC,Elephant,Pellets,Wash,Bear,Mandrill,Plants,Gibbon,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0285	4.1735
15	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	16.443
16	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Blank,Sheep,Chimp,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Wash,Plants,CarnivorousCat,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	189.8574	0.5671
17	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	127.0001	0.6131
18	"omnivores,Wash,herbivores,carnivores"	"Lion,Sheep,Wash,Bear,Gibbon"	"Feces,Wash"	NA	NA	NA	NA	NA	223.0286	5.1473
19	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0592	16.1358
20	"Wash,herbivores,QC"	"Zebra,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0592	14.7169
21	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0592	15.1641
22	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	164.8352	0.5706
23	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0788	15.1579
24	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0593	14.1281
25	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0285	16.7299
26	"omnivores,Wash,herbivores,QC"	"Zebra,QC,Wash,Bear"	"Feces,Wash"	NA	NA	NA	NA	NA	165.04	15.8458
27	"Wash,herbivores,QC"	"Sheep,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0592	15.519
28	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	165.04	15.1621
29	"Wash,herbivores,QC"	"Zebra,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	165.04	15.5281
30	"omnivores,Wash,herbivores,carnivores,Meat,QC"	"Zebra,Lion,Coati,Rhino,QC,Wash,Lemur,Bear,Mandrill,Meat"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0285	9.1385
31	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,QC"	"Zebra,Sheep,Chimp,Coati,Rhino,QC,Elephant,Hyena,Fruit,Leopard,Wash,Lemur,Bear,Mandrill,Plants,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	10.641
32	"Wash,herbivores,QC"	"Zebra,Sheep,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	15.5131
33	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0787	15.5285
34	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	464.969	0.6552
35	Wash	Wash	Wash	NA	NA	NA	NA	NA	239.0593	4.1766
36	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,QC"	"Zebra,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Fruit,Pellets,Wash,Lemur,Goat,Bear,Mandrill,Plants,Gibbon,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0285	13.3079
37	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	15.8367
38	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0787	15.8388
39	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0592	16.4122
40	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0787	14.7184
41	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	15.1601
42	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,QC,Elephant,Fruit,Pellets,Tiger,Wash,Goat,Plants,CarnivorousCat,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	141.867	0.5644
43	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0787	2.0267
44	Wash	Wash	Wash	NA	NA	NA	NA	NA	149.0086	3.1149
45	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	165.04	14.126
46	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0786	16.1256
47	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	17.1155
48	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	16.1235
49	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	165.04	13.3089
50	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	165.04	14.7143
51	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	165.04	16.1309
52	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	165.04	7.6643
53	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Fruit,Wash,Lemur,Bear,Mandrill,Plants,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	12.071
54	"Wash,herbivores,QC"	"Sheep,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0592	16.7596
55	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	14.126
56	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	13.3047
57	Wash	Wash	Wash	NA	NA	NA	NA	NA	239.0594	10.6362
58	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	7.6643
59	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Chimp,QC,Elephant,Fruit,Pellets,Tiger,Wash,Plants,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	143.864	0.5627
60	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	14.7163
61	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0788	6.2893
62	Wash	Wash	Wash	NA	NA	NA	NA	NA	239.0593	9.1461
63	"Wash,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Blank,QC,Fruit,Pellets,Wash,Plants,Meat"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	450.9535	0.6578
64	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0592	13.3068
65	"Wash,Fruit,Plants,Straw,Blank,Meat"	"Straw,Blank,Fruit,Wash,Plants,Meat"	"Wash,Food"	NA	NA	NA	NA	NA	211.905	0.6263
66	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0786	14.1302
67	Wash	Wash	Wash	NA	NA	NA	NA	NA	313.0788	12.0685
68	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0787	13.3089
69	"omnivores,Wash,QC"	"Chimp,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	313.0787	16.754
70	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	528.4508	10.5628
71	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	1118.2614	14.122
72	"omnivores,Wash,herbivores,carnivores,Plants,QC"	"Zebra,Sheep,Rhino,QC,Elephant,Leopard,Wash,Lemur,Bear,Plants,Gibbon,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0287	7.655
73	"Wash,herbivores,QC"	"Sheep,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	16.758
74	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	149.0085	16.4087
75	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Mandrill,Plants,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	174.9691	0.639
76	Wash	Wash	Wash	NA	NA	NA	NA	NA	165.04	9.1404
77	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	621.4743	9.5282
78	Wash	Wash	Wash	NA	NA	NA	NA	NA	149.0085	9.1404
79	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0286	17.5906
80	Wash	Wash	Wash	NA	NA	NA	NA	NA	239.0592	12.0585
81	Wash	Wash	Wash	NA	NA	NA	NA	NA	313.0787	5.1421
82	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	297.0473	15.8347
83	Wash	Wash	Wash	NA	NA	NA	NA	NA	313.0788	10.6359
84	Wash	Wash	Wash	NA	NA	NA	NA	NA	968.2245	12.0557
85	Wash	Wash	Wash	NA	NA	NA	NA	NA	149.0085	12.0541
86	"Wash,QC"	"QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	239.0591	17.1225
87	"omnivores,Wash,herbivores,carnivores,QC"	"Lion,Sheep,Coati,Rhino,QC,Elephant,Leopard,Wash,Bear,Mandrill"	"Feces,Wash"	NA	NA	NA	NA	NA	223.0288	6.3223
88	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Sheep,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Tiger,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	783.5783	1.8694
89	"omnivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat"	"Straw,Lion,Blank,Coati,Wolf,Fruit,Pellets,Leopard,Capuchin,Tiger,Bear,Plants,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	815.5683	1.151
90	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	141.0158	0.614
91	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Sheep,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Tiger,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	805.5601	1.8688
92	"omnivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat"	"Straw,Lion,Blank,Coati,Wolf,Fruit,Pellets,Leopard,Capuchin,Tiger,Bear,Plants,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	837.5497	1.1552
93	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	L-PHENYLALANINE	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000578130	0.000198364	0.986462	1.20901	164.0708	0.6243
94	"omnivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat"	"Straw,Lion,Blank,Coati,Wolf,Fruit,Pellets,Leopard,Tiger,Bear,Plants,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	470.2761	1.1546
95	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Tiger,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	427.2621	1.8663
96	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Sheep,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Bear,Plants,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	443.2571	1.1509
97	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	215.0323	0.5704
98	"omnivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	212.0899	0.6109
99	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	L-TYROSINE	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000578142	9.16E-05	0.987745	0.50844	180.0659	0.6149
100	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat"	"Straw,Lion,Blank,Sheep,Chimp,Coati,Wolf,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Bear,Plants,CarnivorousCat,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	229.1554	0.5984
101	"omnivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat"	"Straw,Lion,Blank,Chimp,Coati,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Plants,CarnivorousCat,Meat"	"Feces,Food"	L-TRYPTOPHAN	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000578123	0	0.959661	0	203.082	0.6241
102	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat"	"Straw,Lion,Blank,Sheep,Coati,Wolf,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Bear,Plants,CarnivorousCat,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	243.1713	0.6293
103	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Sheep,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Tiger,Bear,Mandrill,Plants,CarnivorousCat,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	394.2947	1.8685
104	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	476.2634	1.8649
105	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	305.0232	0.612
106	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	223.0196	0.6134
107	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Tiger,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	429.2594	1.8694
108	"carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat"	"Straw,Lion,Blank,Fruit,Pellets,Leopard,Plants,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	453.286	1.1506
109	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	112.9843	0.5944
110	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	343.2321	1.7048
111	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	185.154	1.7343
