cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	GNPSLibraryURL	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
1714	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	728.6414	11.454
1715	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Meat,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	690.5813	10.9151
1716	"omnivores,herbivores,Plants,Pellets,Straw,QC"	"Zebra,Straw,Sheep,Chimp,Coati,Rhino,QC,Elephant,Pellets,Capuchin,Bear,Mandrill,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	696.615	10.6843
1717	"omnivores,herbivores,Plants,Straw"	"Zebra,Straw,Sheep,Rhino,Elephant,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	756.6365	9.5616
1718	"omnivores,herbivores,carnivores,Straw"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Elephant,Hyena,Lemur,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	281.1396	0.6742
1719	"omnivores,herbivores,carnivores,Fruit,Pellets,Straw,Meat,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	617.5111	8.1271
1720	"herbivores,Straw,QC"	"Zebra,Straw,Sheep,Rhino,Donkey,QC,Elephant,Goat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	323.2594	4.1949
1721	"omnivores,herbivores,carnivores,Straw,QC"	"Zebra,Straw,Sheep,Coati,Rhino,Donkey,QC,Elephant,Hyena,Goat,Mandrill,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	461.3641	4.4504
1722	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,QC"	"Zebra,Straw,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Fruit,Pellets,Capuchin,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	588.477	8.032
1723	"omnivores,herbivores,Plants,Straw"	"Zebra,Straw,Rhino,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	696.6152	9.5489
1724	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	704.5968	11.4514
1725	"omnivores,herbivores,Plants,Straw,QC"	"Straw,QC,Capuchin,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	665.4275	2.8962
1726	"omnivores,herbivores,Straw,QC"	"Zebra,Straw,Sheep,Chimp,Coati,Rhino,QC,Lemur,Goat,Bear,Mandrill,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	271.0974	0.6575
1727	"omnivores,herbivores,Plants,Straw,QC"	"Zebra,Straw,Sheep,Chimp,Coati,Rhino,QC,Elephant,Capuchin,Lemur,Bear,Mandrill,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	784.6672	12.0686
1728	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Meat,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	311.2231	0.9879
1729	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Fruit,Pellets,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	772.6667	11.9747
1730	"omnivores,herbivores,Pellets,Straw"	"Zebra,Straw,Sheep,Chimp,Rhino,Elephant,Pellets,Capuchin,Lemur,Goat,Bear,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	417.3742	7.7118
1731	"herbivores,Straw"	"Zebra,Straw,Rhino"	"Feces,Food"	NA	NA	NA	NA	NA	704.5609	8.4725
1732	"omnivores,herbivores,Plants,Pellets,Straw,Meat"	"Straw,Chimp,Coati,Rhino,Elephant,Pellets,Mandrill,Plants,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	305.176	0.9237
1733	"omnivores,herbivores,Plants,Pellets,Straw,QC"	"Zebra,Straw,Sheep,Chimp,Coati,Rhino,QC,Elephant,Pellets,Capuchin,Bear,Mandrill,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	732.5915	10.6867
1734	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	135.044	0.6845
1735	"omnivores,herbivores,Fruit,Plants,Straw"	"Zebra,Straw,Chimp,Coati,Fruit,Capuchin,Lemur,Bear,Mandrill,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	956.6656	9.8185
1736	"omnivores,herbivores,carnivores,Straw,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Rhino,Wolf,QC,Elephant,Hyena,Leopard,Lemur,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	353.2316	2.4617
1737	"omnivores,herbivores,carnivores,Pellets,Straw,Meat,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	698.6315	11.3782
1738	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	281.2488	4.5969
1739	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	715.0388	0.6104
1740	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	797.0415	0.6108
1741	"herbivores,QC"	"Zebra,Sheep,Rhino,QC,Elephant,Goat"	Feces	NA	NA	NA	NA	NA	297.1133	6.2019
1742	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Chimp,Coati,QC,Bear"	Feces	NA	NA	NA	NA	NA	306.9072	0.9209
1743	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Chimp,Coati,QC,Bear"	Feces	NA	NA	NA	NA	NA	318.933	0.9011
1744	"herbivores,QC"	"Zebra,Sheep,Rhino,QC,Elephant,Goat"	Feces	NA	NA	NA	NA	NA	495.4787	9.802
1745	"omnivores,herbivores,carnivores,Meat,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Leopard,Tiger,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	610.5426	9.1857
1746	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Chimp,Coati,QC,Bear"	Feces	NA	NA	NA	NA	NA	292.9093	0.8017
1747	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	588.4674	6.1848
1748	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Leopard,Tiger,Lemur,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	642.5694	8.8304
1749	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Meat,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	149.0598	0.7519
1750	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Leopard,Tiger,Lemur,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	629.5113	8.37
1751	"omnivores,herbivores,carnivores,Fruit,Plants,Straw,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	451.4524	11.538
1752	"herbivores,QC"	"Sheep,QC"	Feces	NA	NA	NA	NA	NA	609.5467	9.0174
1753	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	439.2379	4.5756
1754	"herbivores,carnivores,Pellets,QC"	"Zebra,Sheep,Rhino,QC,Elephant,Pellets,Tiger,Goat"	"Feces,Food"	NA	NA	NA	NA	NA	519.4786	9.1843
1755	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Rhino,Wolf,QC,Elephant,Hyena,Leopard,Tiger,Lemur,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	618.5158	7.9582
1756	"omnivores,herbivores,carnivores,QC"	"Zebra,Sheep,Chimp,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Goat,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	573.4853	7.958
1757	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,QC,Elephant,Leopard,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	505.4244	10.4109
1758	"omnivores,herbivores,QC"	"Zebra,Sheep,Chimp,Rhino,Donkey,QC,Elephant,Goat,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	600.4765	8.0591
1759	"omnivores,carnivores,QC"	"Lion,Chimp,QC,Bear"	Feces	NA	NA	NA	NA	NA	294.9062	0.8042
1760	"omnivores,herbivores,QC"	"Zebra,Sheep,Chimp,Rhino,Donkey,QC,Elephant,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	781.687	14.298
1761	"herbivores,QC"	"Zebra,Sheep,Rhino,QC,Elephant,Goat"	Feces	NA	NA	NA	NA	NA	547.5101	10.1851
