cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
729	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	171.149	0.805
730	Wash	Wash	Wash	NA	NA	NA	NA	1058.2702	14.9298
731	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	688.4978	5.0612
732	"Meat,omnivores,herbivores,Blank,QC,Plants,Fruit"	"Rhino,Capuchin,Coati,Fruit,Elephant,Chimp,Mandrill,Plants,Gorilla,Meat,Blank,QC,Zebra"	"Feces,Food"	"Spectral_Match_to_13-Docosenamide,_(Z)-_from_NIST14"	0.000366211	0.900744	0.541993	675.6746	5.4101
733	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	128.0898	0.5192
734	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Rhino,Goat,Leopard,Sheep,Gibbon,Capuchin,Pellets,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	1343.927	11.0082
735	"Straw,Pellets,omnivores,herbivores,QC,Plants,Fruit"	"Sheep,Gibbon,Capuchin,Pellets,Coati,Lemur,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Straw,Gorilla,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	872.7164	11.9457
736	"Straw,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit"	"Rhino,Capuchin,Coati,Fruit,Elephant,Chimp,Mandrill,Plants,Straw,Gorilla,Meat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	360.323	5.4105
737	"Straw,Pellets,omnivores,herbivores,Plants,Fruit"	"Gibbon,Capuchin,Pellets,Coati,Lemur,Bear,Fruit,Chimp,Mandrill,Plants,Straw,Gorilla"	"Feces,Food"	NA	NA	NA	NA	894.6976	11.9465
738	"Straw,omnivores,herbivores,QC,Plants,Fruit"	"Rhino,Gibbon,Capuchin,Coati,Lemur,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Straw,Gorilla,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	732.6462	12.5603
739	"Pellets,omnivores,herbivores,QC,Plants,carnivores"	"Hyena,Leopard,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Chimp,Mandrill,Plants,Lion,Gorilla,CarnivorousCat,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	166.0723	0.5714
740	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	838.7829	15.4982
