cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
1	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	124.0868	0.5166
2	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Sheep,Gibbon,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	Spectral_Match_to_Deoxycholic_acid_from_NIST14	0.000976562	0.956172	1.24309	785.591	1.8675
3	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	NA	NA	NA	NA	834.6071	1.1491
4	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Sheep,Gibbon,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	807.5726	1.8665
5	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	NA	NA	NA	NA	839.5623	1.1487
6	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	Spectral_Match_to_Cholic_acid_from_NIST14	0.000366211	0.954936	0.44792	817.5806	1.1495
7	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	268.9979	0.6171
8	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	159.0763	0.5188
9	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Rhino,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	176.0656	0.6103
10	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Goat,Hyena,Leopard,Sheep,Gibbon,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	415.281	1.8661
11	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Sheep,Gibbon,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	410.3257	1.8679
12	"Straw,Pellets,Meat,omnivores,herbivores,Blank,Plants,Fruit,carnivores"	"Leopard,Sheep,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,CarnivorousCat,Blank"	"Feces,Food"	NA	NA	NA	NA	467.3473	1.1495
13	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	802.6173	1.8697
14	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	186.9951	0.6173
15	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	344.2429	1.7031
16	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	104.9922	0.6176
17	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Leopard,Sheep,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	428.327	1.1473
18	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Sheep,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	454.3518	1.1458
19	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Hyena,Leopard,Capuchin,Pellets,Wolf,Coati,Tiger,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	NA	NA	NA	NA	374.0556	0.6188
20	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	Tyrosine	0.00900269	0.987844	49.4409	182.081	0.5854
21	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,CarnivorousCat,Blank"	"Feces,Food"	NA	NA	NA	NA	337.252	1.1445
22	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	NA	NA	NA	NA	855.5325	1.1449
23	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	823.5412	1.8669
24	"Straw,Pellets,Meat,Blank,Plants,Fruit"	"Pellets,Fruit,Plants,Straw,Meat,Blank"	Food	NA	NA	NA	NA	549.4004	0.9223
25	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	326.2319	1.7037
26	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	699.5936	13.0435
27	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	451.3521	1.8673
28	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	1199.8634	1.8699
29	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Coati,Fruit,Plants,Straw,Meat,Blank"	"Feces,Food"	NA	NA	NA	NA	249.0607	0.6197
30	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	431.2762	1.1486
31	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	892.5504	1.8531
32	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	339.2675	1.8697
33	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	1221.8454	1.8811
34	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Rhino,Capuchin,Pellets,Bear,Fruit,Plants,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	728.6568	14.2864
35	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	173.0919	0.5146
36	"Straw,Pellets,Meat,omnivores,herbivores,Blank,Plants,Fruit,carnivores"	"Rhino,Goat,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Tiger,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,Zebra"	"Feces,Food"	NA	NA	NA	NA	399.3251	3.9158
37	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	892.5503	1.8942
38	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank"	"Feces,Food"	NA	NA	NA	NA	1178.8853	1.8688
39	"Straw,Pellets,Meat,omnivores,Blank,Plants,Fruit,carnivores"	"Hyena,Capuchin,Pellets,Wolf,Tiger,Fruit,Plants,Straw,Meat,CarnivorousCat,Blank"	"Feces,Food"	NA	NA	NA	NA	226.0448	0.6029
40	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit"	"Capuchin,Pellets,Bear,Fruit,Plants,Straw,Gorilla,Meat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	721.5569	14.2818
41	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit"	"Capuchin,Pellets,Coati,Fruit,Plants,Straw,Gorilla,Meat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	873.6284	14.1709
42	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Sheep,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	456.3074	1.8709
43	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Wolf,Coati,Fruit,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	Spectral_Match_to_Ile-Leu_from_NIST14	0.000411987	0.985225	1.68031	245.1856	0.6226
44	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	230.2475	1.6606
45	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	1216.8327	1.8647
46	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	Spectral_Match_to_Lyso-PC(16:0)_from_NIST14	0.00012207	0.982187	0.245941	496.3391	2.8559
47	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	438.357	1.8661
48	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	157.097	0.5188
49	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	880.8299	15.8668
50	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	402.2955	1.696
51	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	595.5876	9.046
52	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit"	"Capuchin,Pellets,Fruit,Plants,Straw,Gorilla,Meat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	1389.177	14.2856
53	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	623.6187	10.1284
54	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	Spectral_Match_to_Deoxycholic_acid_from_NIST14	0.000396729	0.945595	1.05713	375.2886	1.8707
55	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	101.0708	0.5192
56	"Straw,Pellets,Meat,omnivores,herbivores,QC,Plants,carnivores"	"Rhino,Leopard,Sheep,Gibbon,Pellets,Coati,Bear,Elephant,Chimp,Mandrill,Plants,Straw,Gorilla,Meat,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	401.2868	0.6651
57	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	666.4621	11.0073
58	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	829.5545	1.8857
59	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Rhino,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	162.0499	0.6018
60	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	829.5544	1.8604
61	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	431.2549	1.8639
62	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Rhino,Goat,Sheep,Gibbon,Capuchin,Pellets,Coati,Lemur,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	721.5752	13.0411
63	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Sheep,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	865.5309	1.877
64	"Straw,Pellets,Meat,Blank,Plants"	"Pellets,Plants,Straw,Meat,Blank"	Food	Spectral_Match_to_Ile-Pro-Ile_from_NIST14	0.000915527	0.78363	2.67511	342.2381	0.6303
65	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	274.2735	1.5964
66	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Leopard,Capuchin,Pellets,Wolf,Coati,Tiger,Fruit,Chimp,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	344.3154	3.6504
67	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	645.4068	1.745
68	"Straw,Pellets,Meat,Blank,Plants,Fruit,carnivores"	"Leopard,Pellets,Tiger,Fruit,Plants,Lion,Straw,Meat,Blank"	"Feces,Food"	NA	NA	NA	NA	541.371	1.3691
69	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Rhino,Goat,Hyena,Leopard,Sheep,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	Spectral_Match_to_DL-Octopamine_from_NIST14	0.000396729	0.994172	2.91549	136.0756	0.6077
70	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit"	"Capuchin,Pellets,Fruit,Plants,Straw,Gorilla,Meat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	815.5753	14.1692
71	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	1237.8134	1.8788
72	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	Spectral_Match_to_1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine_from_NIST14	0.000427246	0.975304	0.81478	524.3704	3.6805
73	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	382.1983	1.6992
74	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	537.5347	9.0469
75	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	1215.7438	9.8221
76	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	389.3001	1.7033
77	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Pellets,Wolf,Fruit,Chimp,Mandrill,Plants,Straw,Gorilla,Meat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	784.6068	5.4814
